noise_level,mlp_acc,mlp_precision,mlp_recall,mlp_f1,rgcn_acc,rgcn_precision,rgcn_recall,rgcn_f1
0.014393939393939395,0.6919203460216522,0.6897083921148691,0.6685096153846153,0.678836406897286,0.6881147540983606,0.6848713039755365,0.6694711538461539,0.675999035427694
0.01590909090909091,0.690866482257843,0.6887523761206851,0.6669471153846154,0.6775554061704443,0.6881147540983605,0.683764057187262,0.6725961538461538,0.6770315828647221
0.017424242424242422,0.6904566437005997,0.6879340405361684,0.6675480769230768,0.677465007676098,0.6877049180327868,0.6816818102356029,0.6770432692307692,0.6781450223690192
0.018939393939393936,0.6902224510908127,0.6881829390346065,0.6661057692307693,0.6768325966089042,0.6884660421545666,0.681804436918155,0.6795673076923077,0.6795240105970579
0.020454545454545454,0.6902224510908127,0.6880069485127888,0.6665865384615385,0.6769842093680114,0.6889344262295081,0.6818362682826594,0.68125,0.680389384551811
0.021969696969696965,0.6898126155138016,0.6879483381121069,0.6651442307692307,0.6762053748977813,0.6897540983606556,0.6826365356247166,0.6822115384615384,0.6812708815543138
0.023484848484848487,0.6893442302942276,0.6864768597333357,0.6671874999999999,0.676531869088844,0.6895199063231849,0.6834889578847634,0.6795673076923077,0.680227309522295
0.025000000000000005,0.6888758450746536,0.685745386495091,0.6673076923076923,0.6762449564409919,0.6877634660421545,0.6807013991993174,0.6802884615384615,0.6792439366006799
0.026515151515151512,0.6888172954320908,0.6854549288900227,0.6679086538461537,0.6763954490792863,0.6881733021077283,0.683160053894072,0.6758413461538461,0.6780770664424411
0.028030303030303034,0.6884074598550797,0.6852635686659193,0.666826923076923,0.6757451624289998,0.6888758782201405,0.6831191624608273,0.6787259615384614,0.6794856542472772
0.02954545454545455,0.687880527973175,0.6849304954414492,0.6657451923076924,0.6750391042918417,0.6886416861826697,0.6830471873111946,0.6780048076923076,0.6790745340806559
0.03106060606060606,0.6865339249372482,0.6834990665128331,0.6645432692307692,0.6737214487388646,0.6889929742388758,0.6830226075986748,0.6794471153846156,0.6797396764626971
0.03257575757575758,0.6860069930553436,0.6824532329182504,0.665264423076923,0.6735951196515925,0.6881733021077283,0.6839834353887709,0.6736778846153847,0.677275656010005
0.03409090909090909,0.6868852108716965,0.6831125898600195,0.666826923076923,0.6747212377088895,0.6871779859484777,0.683240617348813,0.6717548076923077,0.6759120527807301
0.0356060606060606,0.6858313471078873,0.6819625608829114,0.6658653846153846,0.6736673908282055,0.6874121779859484,0.6843174044224569,0.6698317307692307,0.6754436533735201
0.037121212121212124,0.6865924715995788,0.6823698324012151,0.6676682692307692,0.6747818367529818,0.6876463700234192,0.6857312069510091,0.6664663461538461,0.6745585316692858
